"GameNum","Kicker","Good","Distance","Weather","Wind15","Temperature","Grass","Pressure","Ice"
"2002-0101","Bryant","Y",29,"Sun",0,"Nice",1,"N",0
"2002-0101","Bryant","Y",33,"Sun",0,"Nice",1,"N",0
"2002-0101","Cortez","N",25,"Sun",0,"Nice",1,"N",0
"2002-0101","Cortez","Y",23,"Sun",0,"Nice",1,"N",0
"2002-0101","Cortez","N",48,"Sun",0,"Nice",1,"N",0
"2002-0101","Cortez","Y",33,"Sun",0,"Nice",1,"N",0
"2002-0101","Cortez","Y",36,"Sun",0,"Nice",1,"Y",0
"2002-0102","Hall","Y",34,"Sun",0,"Hot",0,"N",0
"2002-0102","Hall","Y",45,"Sun",0,"Hot",0,"N",0
"2002-0102","Hall","N",48,"Sun",0,"Hot",0,"N",0
"2002-0102","Hall","Y",33,"Sun",0,"Hot",0,"N",0
"2002-0102","Hollis","Y",52,"Sun",0,"Hot",0,"N",0
"2002-0102","Hollis","N",50,"Sun",0,"Hot",0,"N",0
"2002-0103","Kasay","Y",27,"Clouds",0,"Nice",1,"N",0
"2002-0103","Kasay","N",50,"Clouds",0,"Nice",1,"N",0
"2002-0103","Stover","N",47,"Clouds",0,"Nice",1,"N",0
"2002-0104","Brien","Y",30,"Clouds",0,"Hot",0,"N",0
"2002-0104","Brien","Y",22,"Clouds",0,"Hot",0,"N",0
"2002-0104","Brien","Y",42,"Clouds",0,"Hot",0,"N",0
"2002-0104","Edinger","Y",49,"Clouds",0,"Hot",0,"N",0
"2002-0104","Edinger","Y",49,"Clouds",0,"Hot",0,"N",0
"2002-0104","Edinger","N",43,"Clouds",0,"Hot",0,"N",0
"2002-0105","Christie","Y",28,"Sun",0,"Hot",1,"N",0
"2002-0105","Christie","Y",27,"Sun",0,"Hot",1,"N",0
"2002-0105","Rackers","Y",21,"Sun",0,"Hot",1,"N",0
"2002-0105","Rackers","Y",54,"Sun",0,"Hot",1,"N",0
"2002-0106","Andersen","Y",33,"Sun",0,"Hot",1,"N",0
"2002-0106","Andersen","Y",30,"Sun",0,"Hot",1,"Y",0
"2002-0106","Dawson","Y",20,"Sun",0,"Hot",1,"N",0
"2002-0106","Dawson","Y",32,"Sun",0,"Hot",1,"N",0
"2002-0106","Dawson","Y",34,"Sun",0,"Hot",1,"N",0
"2002-0106","Dawson","Y",41,"Sun",0,"Hot",1,"Y",0
"2002-0107","Feely","Y",21,"Sun",0,"Hot",1,"N",0
"2002-0107","Feely","Y",52,"Sun",0,"Hot",1,"Y",1
"2002-0107","Longwell","Y",28,"Sun",0,"Hot",1,"N",0
"2002-0107","Longwell","N",42,"Sun",0,"Hot",1,"N",0
"2002-0107","Longwell","Y",42,"Sun",0,"Hot",1,"N",0
"2002-0107","Longwell","Y",34,"Sun",0,"Hot",1,"Y",1
"2002-0108","Epstein","N",52,"SnowRain",1,"Hot",1,"N",0
"2002-0108","Epstein","Y",27,"SnowRain",1,"Hot",1,"N",0
"2002-0108","Vanderjagt","N",33,"SnowRain",1,"Hot",1,"N",0
"2002-0110","Akers","Y",30,"Sun",0,"Hot",1,"N",0
"2002-0110","Nedney","Y",33,"Sun",0,"Hot",1,"N",0
"2002-0110","Nedney","Y",47,"Sun",0,"Hot",1,"N",0
"2002-0111","Conway","Y",35,"Sun",0,"Nice",1,"N",0
"2002-0111","GramaticaB","Y",36,"Sun",0,"Nice",1,"N",0
"2002-0111","GramaticaB","Y",20,"Sun",0,"Nice",1,"N",0
"2002-0111","GramaticaB","Y",39,"Sun",0,"Nice",1,"N",0
"2002-0111","GramaticaB","N",52,"Sun",0,"Nice",1,"N",0
"2002-0112","Elam","Y",41,"Clouds",0,"Hot",1,"N",0
"2002-0112","Elam","Y",34,"Clouds",0,"Hot",1,"N",0
"2002-0112","Elam","Y",32,"Clouds",0,"Hot",1,"N",0
"2002-0112","Wilkins","Y",41,"Clouds",0,"Hot",1,"N",0
"2002-0112","Wilkins","Y",43,"Clouds",0,"Hot",1,"N",0
"2002-0112","Wilkins","N",39,"Clouds",0,"Hot",1,"N",0
"2002-0112","Wilkins","Y",39,"Clouds",0,"Hot",1,"N",0
"2002-0113","Janikowski","Y",27,"Sun",0,"Nice",1,"N",0
